x,y,class
8.98794046299167,4.383711467890774,0
6.217167691655767,5.0345631283987,0
4.791813060283757,3.6108901389122896,0
11.741387951235936,7.624946490210378,0
10.064046815345089,6.535668420180324,0
8.301805382450492,7.2166493188955805,0
8.089146416692504,3.9453403211016966,0
10.244139796887385,8.003599179233557,0
8.82947592858927,4.694715627858908,0
8.089146416692504,3.9453403211016966,0
5.032736131236721,7.461338152995376,1
3.0685980275235423,6.2915583240941695,1
2.5751903745502718,4.285836503510561,1
5.000000000000001,8.660254037844386,1
6.695494973830707,11.14317490912746,1
2.5000000000000004,4.330127018922193,1
7.4564936725636,10.648976575756894,1
8.698697882665158,9.660882731206124,1
3.3936673417243597,6.12233794997577,1
6.465637775217204,8.899186938124423,1
